Order Date,Product,Category,Region,Customer Type,Quantity,Unit Price,Discount,Revenue,Profit
2025-10-16,Mouse,Electronics,South,Retail,1,800,10,720.0,221.23
2025-11-23,Bottle,Accessories,North,Retail,3,350,20,840.0,129.59
2024-08-11,Chair,Furniture,South,Wholesale,17,4500,20,61200.0,18516.0
2024-08-13,Monitor,Electronics,North,Retail,19,15000,10,256500.0,30543.7
2025-12-15,Printer,Electronics,East,Retail,11,12000,10,118800.0,40043.01
2024-04-04,Printer,Electronics,East,Retail,4,12000,10,43200.0,4596.08
2025-04-15,Bottle,Accessories,East,Wholesale,4,350,15,1190.0,386.9
2025-08-14,Chair,Furniture,East,Retail,3,4500,0,13500.0,3396.88
2024-08-26,Mouse,Electronics,East,Retail,13,800,10,9360.0,2225.36
2025-01-14,Notebook,Stationery,North,Retail,7,120,10,756.0,117.14
2025-06-30,Chair,Furniture,South,Wholesale,6,4500,15,22950.0,5026.41
2024-02-27,Chair,Furniture,North,Retail,2,4500,10,8100.0,2066.86
2025-08-03,Notebook,Stationery,West,Retail,7,120,15,714.0,152.3
2024-09-28,Keyboard,Electronics,West,Wholesale,8,1500,20,9600.0,1059.68
2025-01-05,Chair,Furniture,North,Retail,5,4500,20,18000.0,2293.77
2024-06-05,Keyboard,Electronics,West,Wholesale,14,1500,20,16800.0,4849.78
2025-06-25,Table,Furniture,North,Wholesale,18,7000,0,126000.0,30985.29
2025-10-18,Notebook,Stationery,West,Retail,4,120,10,432.0,105.39
2024-09-26,Bottle,Accessories,East,Retail,6,350,20,1680.0,-49.96
2024-06-05,Notebook,Stationery,North,Wholesale,6,120,20,576.0,-25.96
2025-05-15,Laptop,Electronics,East,Retail,4,55000,10,198000.0,19004.36
2024-02-29,Chair,Furniture,West,Retail,19,4500,0,85500.0,36277.99
2025-06-29,Keyboard,Electronics,South,Wholesale,5,1500,15,6375.0,119.59
2025-06-24,Bag,Accessories,South,Wholesale,14,1800,5,23940.0,3057.41
2025-02-12,Notebook,Stationery,South,Retail,15,120,20,1440.0,206.2
2024-03-06,Notebook,Stationery,South,Retail,1,120,20,96.0,10.06
2024-03-13,Laptop,Electronics,East,Retail,8,55000,0,440000.0,78484.56
2025-06-10,Chair,Furniture,South,Wholesale,9,4500,15,34425.0,9547.02
2024-09-05,Monitor,Electronics,West,Wholesale,14,15000,5,199500.0,78057.47
2025-03-09,Printer,Electronics,North,Retail,15,12000,0,180000.0,44638.31
2025-02-16,Notebook,Stationery,West,Retail,4,120,5,456.0,164.41
2025-03-08,Keyboard,Electronics,North,Wholesale,9,1500,15,11475.0,3038.28
2025-07-17,Mouse,Electronics,North,Retail,2,800,20,1280.0,-1.29
2024-06-19,Printer,Electronics,West,Retail,16,12000,15,163200.0,45288.16
2024-06-17,Printer,Electronics,West,Wholesale,1,12000,15,10200.0,2645.27
2025-03-09,Bottle,Accessories,South,Retail,16,350,5,5320.0,1920.97
2025-08-16,Bottle,Accessories,West,Retail,2,350,10,630.0,233.0
2024-02-28,Bottle,Accessories,North,Retail,3,350,5,997.5,398.42
2025-02-17,Mouse,Electronics,North,Retail,19,800,5,14440.0,3440.13
2025-03-05,Bag,Accessories,East,Retail,19,1800,20,27360.0,5304.05
2025-11-16,Notebook,Stationery,East,Wholesale,8,120,10,864.0,222.01
2024-11-19,Mouse,Electronics,North,Retail,1,800,15,680.0,90.92
2025-07-04,Chair,Furniture,East,Retail,17,4500,10,68850.0,23735.12
2024-09-07,Notebook,Stationery,East,Retail,10,120,5,1140.0,322.25
2025-11-14,Bottle,Accessories,South,Wholesale,10,350,0,3500.0,589.12
2024-04-28,Mouse,Electronics,South,Wholesale,18,800,5,13680.0,4583.46
2024-07-27,Table,Furniture,North,Retail,17,7000,15,101150.0,26734.97
2025-10-11,Printer,Electronics,South,Wholesale,9,12000,0,108000.0,48485.12
2024-06-14,Monitor,Electronics,North,Retail,18,15000,15,229500.0,35566.54
2025-12-08,Keyboard,Electronics,South,Wholesale,18,1500,0,27000.0,5389.78
2024-05-10,Laptop,Electronics,North,Wholesale,10,55000,10,495000.0,44168.05
2024-08-03,Chair,Furniture,West,Retail,4,4500,10,16200.0,2087.37
2024-08-30,Keyboard,Electronics,East,Wholesale,6,1500,15,7650.0,2633.08
2025-11-16,Chair,Furniture,North,Wholesale,9,4500,5,38475.0,6633.4
2024-02-09,Monitor,Electronics,West,Wholesale,8,15000,5,114000.0,18602.88
2024-11-08,Chair,Furniture,West,Wholesale,8,4500,0,36000.0,9071.64
2024-10-12,Mouse,Electronics,West,Wholesale,9,800,10,6480.0,1134.4
2024-01-29,Mouse,Electronics,East,Retail,9,800,5,6840.0,1625.93
2024-04-21,Bag,Accessories,East,Wholesale,14,1800,10,22680.0,3312.2
2025-09-12,Bottle,Accessories,South,Wholesale,4,350,15,1190.0,42.21
2024-02-15,Printer,Electronics,South,Wholesale,1,12000,20,9600.0,-332.07
2025-03-17,Mouse,Electronics,North,Wholesale,11,800,20,7040.0,1371.26
2025-06-03,Table,Furniture,East,Retail,14,7000,10,88200.0,22469.43
2024-07-15,Printer,Electronics,East,Wholesale,13,12000,5,148200.0,33593.9
2025-07-15,Laptop,Electronics,East,Wholesale,10,55000,10,495000.0,157819.86
2025-03-28,Monitor,Electronics,South,Retail,7,15000,20,84000.0,11344.64
2024-10-17,Bottle,Accessories,South,Wholesale,20,350,10,6300.0,2253.89
2024-08-18,Chair,Furniture,West,Retail,5,4500,0,22500.0,9813.06
2025-04-11,Printer,Electronics,West,Wholesale,19,12000,5,216600.0,42065.14
2025-02-13,Chair,Furniture,North,Wholesale,5,4500,0,22500.0,4099.55
2024-08-12,Keyboard,Electronics,South,Retail,17,1500,15,21675.0,7265.83
2025-04-12,Keyboard,Electronics,East,Wholesale,15,1500,20,18000.0,-1043.27
2025-09-19,Bottle,Accessories,South,Wholesale,14,350,20,3920.0,569.51
2025-04-05,Table,Furniture,West,Retail,8,7000,10,50400.0,6734.33
2024-10-08,Monitor,Electronics,East,Wholesale,3,15000,10,40500.0,12584.34
2025-07-07,Mouse,Electronics,South,Retail,5,800,5,3800.0,1322.49
2024-03-06,Printer,Electronics,West,Retail,14,12000,10,151200.0,31452.4
2024-07-30,Printer,Electronics,North,Wholesale,13,12000,20,124800.0,-5275.7
2025-05-03,Laptop,Electronics,West,Retail,12,55000,10,594000.0,81811.93
2025-05-14,Chair,Furniture,West,Wholesale,9,4500,15,34425.0,6249.45
2025-11-15,Printer,Electronics,North,Wholesale,6,12000,15,61200.0,1737.9
2025-08-29,Bag,Accessories,South,Wholesale,1,1800,0,1800.0,462.92
2024-07-05,Laptop,Electronics,West,Wholesale,9,55000,15,420750.0,99888.13
2024-12-11,Printer,Electronics,North,Wholesale,9,12000,15,91800.0,24226.4
2024-01-20,Bottle,Accessories,North,Retail,2,350,10,630.0,197.91
